,PWSName,FIPS_5,CNTY_OR_CITY,POPULATION,ANALYTE_NAME,Concentration in µg/L,COLLECT_DT
2716,RIVER PARK,51043,CLARKE,100,LEAD,0.0,2014-04-01
2715,RIVER PARK,51043,CLARKE,100,LEAD,0.0,2014-04-01
2713,RIVER PARK,51043,CLARKE,100,LEAD,0.0,2014-04-01
2712,RIVER PARK,51043,CLARKE,100,LEAD,0.0,2014-04-01
2714,RIVER PARK,51043,CLARKE,100,LEAD,0.0,2014-04-01
9231,WESTLAKE AREA PUBLIC WATER SYSTEM,51067,FRANKLIN COUNTY,2784,LEAD,0.8,2014-04-13
9230,WESTLAKE AREA PUBLIC WATER SYSTEM,51067,FRANKLIN COUNTY,2784,LEAD,1.0,2014-04-14
9229,WESTLAKE AREA PUBLIC WATER SYSTEM,51067,FRANKLIN COUNTY,2784,LEAD,0.5,2014-04-14
9228,WESTLAKE AREA PUBLIC WATER SYSTEM,51067,FRANKLIN COUNTY,2784,LEAD,2.1,2014-04-15
9226,WESTLAKE AREA PUBLIC WATER SYSTEM,51067,FRANKLIN COUNTY,2784,LEAD,0.6,2014-04-16
9227,WESTLAKE AREA PUBLIC WATER SYSTEM,51067,FRANKLIN COUNTY,2784,LEAD,0.5,2014-04-16
6617,CHESTERFIELD CO CENTRAL WATER SYSTEM,51041,CHESTERFIELD,286883,LEAD,0.0,2014-04-22
6618,CHESTERFIELD CO CENTRAL WATER SYSTEM,51041,CHESTERFIELD,286883,LEAD,0.0,2014-04-22
9224,WESTLAKE AREA PUBLIC WATER SYSTEM,51067,FRANKLIN COUNTY,2784,LEAD,2.4,2014-04-23
9225,WESTLAKE AREA PUBLIC WATER SYSTEM,51067,FRANKLIN COUNTY,2784,LEAD,0.4,2014-04-23
10806,DOVE HILL WATERWORKS,51047,CULPEPER,192,LEAD,2.27,2014-04-26
10807,DOVE HILL WATERWORKS,51047,CULPEPER,192,LEAD,0.0,2014-04-26
10808,DOVE HILL WATERWORKS,51047,CULPEPER,192,LEAD,2.41,2014-04-26
4684,DEER RUN,51093,ISLE OF WIGHT,104,LEAD,0.0,2014-04-26
10809,DOVE HILL WATERWORKS,51047,CULPEPER,192,LEAD,2.66,2014-04-26
10805,DOVE HILL WATERWORKS,51047,CULPEPER,192,LEAD,6.32,2014-04-26
4682,DEER RUN,51093,ISLE OF WIGHT,104,LEAD,0.0,2014-04-29
4683,DEER RUN,51093,ISLE OF WIGHT,104,LEAD,0.0,2014-04-29
9223,WESTLAKE AREA PUBLIC WATER SYSTEM,51067,FRANKLIN COUNTY,2784,LEAD,34.7,2014-04-29
4681,DEER RUN,51093,ISLE OF WIGHT,104,LEAD,0.0,2014-04-29
4680,DEER RUN,51093,ISLE OF WIGHT,104,LEAD,0.0,2014-04-29
4679,DEER RUN,51093,ISLE OF WIGHT,104,LEAD,0.0,2014-04-29
4678,DEER RUN,51093,ISLE OF WIGHT,104,LEAD,0.0,2014-04-29
4677,DEER RUN,51093,ISLE OF WIGHT,104,LEAD,0.0,2014-04-29
4676,DEER RUN,51093,ISLE OF WIGHT,104,LEAD,0.0,2014-04-29
9222,WESTLAKE AREA PUBLIC WATER SYSTEM,51067,FRANKLIN COUNTY,2784,LEAD,2.4,2014-05-01
9221,WESTLAKE AREA PUBLIC WATER SYSTEM,51067,FRANKLIN COUNTY,2784,LEAD,0.2,2014-05-02
12463,SELMA ESTATES,51107,LOUDOUN,861,LEAD,0.0,2014-05-05
12456,SELMA ESTATES,51107,LOUDOUN,861,LEAD,0.0,2014-05-06
12457,SELMA ESTATES,51107,LOUDOUN,861,LEAD,0.0,2014-05-06
12458,SELMA ESTATES,51107,LOUDOUN,861,LEAD,0.0,2014-05-06
12459,SELMA ESTATES,51107,LOUDOUN,861,LEAD,0.0,2014-05-06
12460,SELMA ESTATES,51107,LOUDOUN,861,LEAD,0.0,2014-05-06
12461,SELMA ESTATES,51107,LOUDOUN,861,LEAD,0.0,2014-05-06
12462,SELMA ESTATES,51107,LOUDOUN,861,LEAD,0.0,2014-05-06
12453,SELMA ESTATES,51107,LOUDOUN,861,LEAD,0.0,2014-05-07
4675,DEER RUN,51093,ISLE OF WIGHT,104,LEAD,0.0,2014-05-07
12451,SELMA ESTATES,51107,LOUDOUN,861,LEAD,0.0,2014-05-07
12452,SELMA ESTATES,51107,LOUDOUN,861,LEAD,0.0,2014-05-07
12454,SELMA ESTATES,51107,LOUDOUN,861,LEAD,0.0,2014-05-07
12455,SELMA ESTATES,51107,LOUDOUN,861,LEAD,0.0,2014-05-07
9220,WESTLAKE AREA PUBLIC WATER SYSTEM,51067,FRANKLIN COUNTY,2784,LEAD,1.6,2014-05-08
9219,WESTLAKE AREA PUBLIC WATER SYSTEM,51067,FRANKLIN COUNTY,2784,LEAD,0.6,2014-05-09
9218,WESTLAKE AREA PUBLIC WATER SYSTEM,51067,FRANKLIN COUNTY,2784,LEAD,3.0,2014-05-12
881,RADFORD ARMY AMMUNITION PLANT,51121,MONTGOMERY,1380,LEAD,0.4,2014-05-13
885,RADFORD ARMY AMMUNITION PLANT,51121,MONTGOMERY,1380,LEAD,9.5,2014-05-13
882,RADFORD ARMY AMMUNITION PLANT,51121,MONTGOMERY,1380,LEAD,0.4,2014-05-13
883,RADFORD ARMY AMMUNITION PLANT,51121,MONTGOMERY,1380,LEAD,2.6,2014-05-13
884,RADFORD ARMY AMMUNITION PLANT,51121,MONTGOMERY,1380,LEAD,34.0,2014-05-13
890,RADFORD ARMY AMMUNITION PLANT,51121,MONTGOMERY,1380,LEAD,0.8,2014-05-13
886,RADFORD ARMY AMMUNITION PLANT,51121,MONTGOMERY,1380,LEAD,9.7,2014-05-13
887,RADFORD ARMY AMMUNITION PLANT,51121,MONTGOMERY,1380,LEAD,3.7,2014-05-13
889,RADFORD ARMY AMMUNITION PLANT,51121,MONTGOMERY,1380,LEAD,0.6,2014-05-13
888,RADFORD ARMY AMMUNITION PLANT,51121,MONTGOMERY,1380,LEAD,0.7,2014-05-13
871,RADFORD ARMY AMMUNITION PLANT,51121,MONTGOMERY,1380,LEAD,0.7,2014-05-15
879,RADFORD ARMY AMMUNITION PLANT,51121,MONTGOMERY,1380,LEAD,0.0,2014-05-15
872,RADFORD ARMY AMMUNITION PLANT,51121,MONTGOMERY,1380,LEAD,3.5,2014-05-15
873,RADFORD ARMY AMMUNITION PLANT,51121,MONTGOMERY,1380,LEAD,24.8,2014-05-15
874,RADFORD ARMY AMMUNITION PLANT,51121,MONTGOMERY,1380,LEAD,1.3,2014-05-15
875,RADFORD ARMY AMMUNITION PLANT,51121,MONTGOMERY,1380,LEAD,1.9,2014-05-15
876,RADFORD ARMY AMMUNITION PLANT,51121,MONTGOMERY,1380,LEAD,4.9,2014-05-15
877,RADFORD ARMY AMMUNITION PLANT,51121,MONTGOMERY,1380,LEAD,0.5,2014-05-15
878,RADFORD ARMY AMMUNITION PLANT,51121,MONTGOMERY,1380,LEAD,0.0,2014-05-15
880,RADFORD ARMY AMMUNITION PLANT,51121,MONTGOMERY,1380,LEAD,0.9,2014-05-15
1227,"LEBANON, TOWN OF",51167,RUSSELL,3458,LEAD,0.0,2014-05-19
6713,RAPPAHANNOCK BEACH,51057,ESSEX,60,LEAD,0.0,2014-05-19
6715,RAPPAHANNOCK BEACH,51057,ESSEX,60,LEAD,0.0,2014-05-19
6714,RAPPAHANNOCK BEACH,51057,ESSEX,60,LEAD,3.54,2014-05-19
6712,RAPPAHANNOCK BEACH,51057,ESSEX,60,LEAD,0.0,2014-05-20
6711,RAPPAHANNOCK BEACH,51057,ESSEX,60,LEAD,0.0,2014-05-20
1221,"LEBANON, TOWN OF",51167,RUSSELL,3458,LEAD,0.0,2014-05-20
1226,"LEBANON, TOWN OF",51167,RUSSELL,3458,LEAD,0.0,2014-05-20
1225,"LEBANON, TOWN OF",51167,RUSSELL,3458,LEAD,0.0,2014-05-20
1224,"LEBANON, TOWN OF",51167,RUSSELL,3458,LEAD,0.0,2014-05-20
1222,"LEBANON, TOWN OF",51167,RUSSELL,3458,LEAD,0.0,2014-05-20
1220,"LEBANON, TOWN OF",51167,RUSSELL,3458,LEAD,0.0,2014-05-20
1223,"LEBANON, TOWN OF",51167,RUSSELL,3458,LEAD,0.0,2014-05-20
1218,"LEBANON, TOWN OF",51167,RUSSELL,3458,LEAD,0.0,2014-05-20
1211,"LEBANON, TOWN OF",51167,RUSSELL,3458,LEAD,0.0,2014-05-20
1212,"LEBANON, TOWN OF",51167,RUSSELL,3458,LEAD,0.0,2014-05-20
1213,"LEBANON, TOWN OF",51167,RUSSELL,3458,LEAD,0.0,2014-05-20
1214,"LEBANON, TOWN OF",51167,RUSSELL,3458,LEAD,0.0,2014-05-20
1210,"LEBANON, TOWN OF",51167,RUSSELL,3458,LEAD,0.0,2014-05-20
1219,"LEBANON, TOWN OF",51167,RUSSELL,3458,LEAD,0.0,2014-05-20
1216,"LEBANON, TOWN OF",51167,RUSSELL,3458,LEAD,0.0,2014-05-20
1215,"LEBANON, TOWN OF",51167,RUSSELL,3458,LEAD,0.0,2014-05-20
1217,"LEBANON, TOWN OF",51167,RUSSELL,3458,LEAD,0.0,2014-05-20
1204,"LEBANON, TOWN OF",51167,RUSSELL,3458,LEAD,0.0,2014-05-21
1205,"LEBANON, TOWN OF",51167,RUSSELL,3458,LEAD,0.0,2014-05-21
1206,"LEBANON, TOWN OF",51167,RUSSELL,3458,LEAD,0.0,2014-05-21
1208,"LEBANON, TOWN OF",51167,RUSSELL,3458,LEAD,0.0,2014-05-21
1209,"LEBANON, TOWN OF",51167,RUSSELL,3458,LEAD,0.0,2014-05-21
1207,"LEBANON, TOWN OF",51167,RUSSELL,3458,LEAD,0.0,2014-05-21
4038,"BUENA VISTA, CITY OF",51530,BUENA VISTA CITY,6650,LEAD,0.0,2014-05-22
1197,"LEBANON, TOWN OF",51167,RUSSELL,3458,LEAD,0.0,2014-05-22
1198,"LEBANON, TOWN OF",51167,RUSSELL,3458,LEAD,0.0,2014-05-22
1199,"LEBANON, TOWN OF",51167,RUSSELL,3458,LEAD,2.53,2014-05-22
1200,"LEBANON, TOWN OF",51167,RUSSELL,3458,LEAD,2.11,2014-05-22
1201,"LEBANON, TOWN OF",51167,RUSSELL,3458,LEAD,0.0,2014-05-22
1202,"LEBANON, TOWN OF",51167,RUSSELL,3458,LEAD,0.0,2014-05-22
1203,"LEBANON, TOWN OF",51167,RUSSELL,3458,LEAD,0.0,2014-05-22
4037,"BUENA VISTA, CITY OF",51530,BUENA VISTA CITY,6650,LEAD,6.55,2014-05-22
4031,"BUENA VISTA, CITY OF",51530,BUENA VISTA CITY,6650,LEAD,0.0,2014-05-22
4032,"BUENA VISTA, CITY OF",51530,BUENA VISTA CITY,6650,LEAD,5.25,2014-05-22
4033,"BUENA VISTA, CITY OF",51530,BUENA VISTA CITY,6650,LEAD,3.93,2014-05-22
4034,"BUENA VISTA, CITY OF",51530,BUENA VISTA CITY,6650,LEAD,5.66,2014-05-22
4035,"BUENA VISTA, CITY OF",51530,BUENA VISTA CITY,6650,LEAD,2.35,2014-05-22
1196,"LEBANON, TOWN OF",51167,RUSSELL,3458,LEAD,11.2,2014-05-22
4036,"BUENA VISTA, CITY OF",51530,BUENA VISTA CITY,6650,LEAD,0.0,2014-05-22
1195,"LEBANON, TOWN OF",51167,RUSSELL,3458,LEAD,0.0,2014-05-22
1191,"LEBANON, TOWN OF",51167,RUSSELL,3458,LEAD,0.0,2014-05-23
1188,"LEBANON, TOWN OF",51167,RUSSELL,3458,LEAD,0.0,2014-05-23
1189,"LEBANON, TOWN OF",51167,RUSSELL,3458,LEAD,0.0,2014-05-23
1193,"LEBANON, TOWN OF",51167,RUSSELL,3458,LEAD,2.07,2014-05-23
1192,"LEBANON, TOWN OF",51167,RUSSELL,3458,LEAD,0.0,2014-05-23
1190,"LEBANON, TOWN OF",51167,RUSSELL,3458,LEAD,0.0,2014-05-23
1194,"LEBANON, TOWN OF",51167,RUSSELL,3458,LEAD,0.0,2014-05-23
4030,"BUENA VISTA, CITY OF",51530,BUENA VISTA CITY,6650,LEAD,0.0,2014-05-23
9217,WESTLAKE AREA PUBLIC WATER SYSTEM,51067,FRANKLIN COUNTY,2784,LEAD,11.4,2014-05-28
9216,WESTLAKE AREA PUBLIC WATER SYSTEM,51067,FRANKLIN COUNTY,2784,LEAD,10.2,2014-05-28
9215,WESTLAKE AREA PUBLIC WATER SYSTEM,51067,FRANKLIN COUNTY,2784,LEAD,0.4,2014-05-28
9354,ROYAL ESTATES,51067,FRANKLIN COUNTY,55,LEAD,3.5,2014-05-30
3724,LAMBERT`S MOBILE VILLA,51171,SHENANDOAH,90,LEAD,0.0,2014-06-02
6589,"WILLIAMSBURG, CITY OF",51830,WILLIAMSBURG,16300,LEAD,0.0,2014-06-02
6588,"WILLIAMSBURG, CITY OF",51830,WILLIAMSBURG,16300,LEAD,0.0,2014-06-02
6586,"WILLIAMSBURG, CITY OF",51830,WILLIAMSBURG,16300,LEAD,0.0,2014-06-02
6587,"WILLIAMSBURG, CITY OF",51830,WILLIAMSBURG,16300,LEAD,0.0,2014-06-02
3726,LAMBERT`S MOBILE VILLA,51171,SHENANDOAH,90,LEAD,0.0,2014-06-02
8888,CAMPBELL COUNTY EAST SYSTEM,51031,CAMPBELL,2505,LEAD,0.0,2014-06-02
8889,CAMPBELL COUNTY EAST SYSTEM,51031,CAMPBELL,2505,LEAD,0.0,2014-06-02
3727,LAMBERT`S MOBILE VILLA,51171,SHENANDOAH,90,LEAD,0.0,2014-06-02
3725,LAMBERT`S MOBILE VILLA,51171,SHENANDOAH,90,LEAD,0.0,2014-06-02
12659,BULL RUN MOUNTAIN/EVERGREEN (BRME),51153,PRINCE WILLIAM,1641,LEAD,0.0,2014-06-03
6576,"WILLIAMSBURG, CITY OF",51830,WILLIAMSBURG,16300,LEAD,2.72,2014-06-03
6577,"WILLIAMSBURG, CITY OF",51830,WILLIAMSBURG,16300,LEAD,1.46,2014-06-03
12660,BULL RUN MOUNTAIN/EVERGREEN (BRME),51153,PRINCE WILLIAM,1641,LEAD,0.0,2014-06-03
6578,"WILLIAMSBURG, CITY OF",51830,WILLIAMSBURG,16300,LEAD,0.0,2014-06-03
6580,"WILLIAMSBURG, CITY OF",51830,WILLIAMSBURG,16300,LEAD,0.0,2014-06-03
6581,"WILLIAMSBURG, CITY OF",51830,WILLIAMSBURG,16300,LEAD,0.0,2014-06-03
6582,"WILLIAMSBURG, CITY OF",51830,WILLIAMSBURG,16300,LEAD,2.11,2014-06-03
12658,BULL RUN MOUNTAIN/EVERGREEN (BRME),51153,PRINCE WILLIAM,1641,LEAD,0.0,2014-06-03
6575,"WILLIAMSBURG, CITY OF",51830,WILLIAMSBURG,16300,LEAD,1.69,2014-06-03
6579,"WILLIAMSBURG, CITY OF",51830,WILLIAMSBURG,16300,LEAD,1.16,2014-06-03
6574,"WILLIAMSBURG, CITY OF",51830,WILLIAMSBURG,16300,LEAD,0.0,2014-06-03
11623,"PLAINS, THE",51061,FAUQUIER,566,LEAD,0.0,2014-06-03
6572,"WILLIAMSBURG, CITY OF",51830,WILLIAMSBURG,16300,LEAD,0.0,2014-06-03
12661,BULL RUN MOUNTAIN/EVERGREEN (BRME),51153,PRINCE WILLIAM,1641,LEAD,0.0,2014-06-03
3733,TOWN OF MOUNT JACKSON,51171,SHENANDOAH,1864,LEAD,0.0,2014-06-03
3734,TOWN OF MOUNT JACKSON,51171,SHENANDOAH,1864,LEAD,2.18,2014-06-03
3735,TOWN OF MOUNT JACKSON,51171,SHENANDOAH,1864,LEAD,9.7,2014-06-03
3736,TOWN OF MOUNT JACKSON,51171,SHENANDOAH,1864,LEAD,0.0,2014-06-03
3737,TOWN OF MOUNT JACKSON,51171,SHENANDOAH,1864,LEAD,0.0,2014-06-03
3738,TOWN OF MOUNT JACKSON,51171,SHENANDOAH,1864,LEAD,0.0,2014-06-03
3739,TOWN OF MOUNT JACKSON,51171,SHENANDOAH,1864,LEAD,3.91,2014-06-03
3740,TOWN OF MOUNT JACKSON,51171,SHENANDOAH,1864,LEAD,0.0,2014-06-03
3741,TOWN OF MOUNT JACKSON,51171,SHENANDOAH,1864,LEAD,0.0,2014-06-03
3742,TOWN OF MOUNT JACKSON,51171,SHENANDOAH,1864,LEAD,8.75,2014-06-03
11625,"PLAINS, THE",51061,FAUQUIER,566,LEAD,62.6,2014-06-03
11624,"PLAINS, THE",51061,FAUQUIER,566,LEAD,0.0,2014-06-03
11622,"PLAINS, THE",51061,FAUQUIER,566,LEAD,0.0,2014-06-03
6571,"WILLIAMSBURG, CITY OF",51830,WILLIAMSBURG,16300,LEAD,0.0,2014-06-03
6573,"WILLIAMSBURG, CITY OF",51830,WILLIAMSBURG,16300,LEAD,0.0,2014-06-03
12662,BULL RUN MOUNTAIN/EVERGREEN (BRME),51153,PRINCE WILLIAM,1641,LEAD,0.0,2014-06-03
11488,MARSHALL WATERWORKS,51061,FAUQUIER,2245,LEAD,0.0,2014-06-03
6583,"WILLIAMSBURG, CITY OF",51830,WILLIAMSBURG,16300,LEAD,0.0,2014-06-03
8886,CAMPBELL COUNTY EAST SYSTEM,51031,CAMPBELL,2505,LEAD,0.0,2014-06-03
8885,CAMPBELL COUNTY EAST SYSTEM,51031,CAMPBELL,2505,LEAD,0.0,2014-06-03
8884,CAMPBELL COUNTY EAST SYSTEM,51031,CAMPBELL,2505,LEAD,0.0,2014-06-03
8883,CAMPBELL COUNTY EAST SYSTEM,51031,CAMPBELL,2505,LEAD,0.0,2014-06-03
8882,CAMPBELL COUNTY EAST SYSTEM,51031,CAMPBELL,2505,LEAD,0.0,2014-06-03
8382,"AMHERST, TOWN OF",51009,AMHERST,4998,LEAD,0.5,2014-06-03
8887,CAMPBELL COUNTY EAST SYSTEM,51031,CAMPBELL,2505,LEAD,0.0,2014-06-03
8383,"AMHERST, TOWN OF",51009,AMHERST,4998,LEAD,0.2,2014-06-03
8385,"AMHERST, TOWN OF",51009,AMHERST,4998,LEAD,0.3,2014-06-03
8881,CAMPBELL COUNTY EAST SYSTEM,51031,CAMPBELL,2505,LEAD,0.0,2014-06-03
12663,BULL RUN MOUNTAIN/EVERGREEN (BRME),51153,PRINCE WILLIAM,1641,LEAD,0.0,2014-06-03
8390,"AMHERST, TOWN OF",51009,AMHERST,4998,LEAD,0.6,2014-06-03
8389,"AMHERST, TOWN OF",51009,AMHERST,4998,LEAD,0.3,2014-06-03
8388,"AMHERST, TOWN OF",51009,AMHERST,4998,LEAD,0.4,2014-06-03
8384,"AMHERST, TOWN OF",51009,AMHERST,4998,LEAD,1.2,2014-06-03
8387,"AMHERST, TOWN OF",51009,AMHERST,4998,LEAD,1.4,2014-06-03
8386,"AMHERST, TOWN OF",51009,AMHERST,4998,LEAD,0.5,2014-06-03
11489,MARSHALL WATERWORKS,51061,FAUQUIER,2245,LEAD,0.0,2014-06-03
6584,"WILLIAMSBURG, CITY OF",51830,WILLIAMSBURG,16300,LEAD,0.0,2014-06-03
6585,"WILLIAMSBURG, CITY OF",51830,WILLIAMSBURG,16300,LEAD,0.0,2014-06-03
11484,MARSHALL WATERWORKS,51061,FAUQUIER,2245,LEAD,0.0,2014-06-03
11485,MARSHALL WATERWORKS,51061,FAUQUIER,2245,LEAD,0.0,2014-06-03
11486,MARSHALL WATERWORKS,51061,FAUQUIER,2245,LEAD,0.0,2014-06-03
11487,MARSHALL WATERWORKS,51061,FAUQUIER,2245,LEAD,0.0,2014-06-03
11490,MARSHALL WATERWORKS,51061,FAUQUIER,2245,LEAD,0.0,2014-06-03
3511,"BROADWAY, TOWN OF",51165,ROCKINGHAM,3671,LEAD,0.0,2014-06-04
3512,"BROADWAY, TOWN OF",51165,ROCKINGHAM,3671,LEAD,1.7,2014-06-04
3517,"BROADWAY, TOWN OF",51165,ROCKINGHAM,3671,LEAD,1.2,2014-06-04
3510,"BROADWAY, TOWN OF",51165,ROCKINGHAM,3671,LEAD,1.0,2014-06-04
3514,"BROADWAY, TOWN OF",51165,ROCKINGHAM,3671,LEAD,2.6,2014-06-04
3515,"BROADWAY, TOWN OF",51165,ROCKINGHAM,3671,LEAD,1.8,2014-06-04
3516,"BROADWAY, TOWN OF",51165,ROCKINGHAM,3671,LEAD,4.9,2014-06-04
3513,"BROADWAY, TOWN OF",51165,ROCKINGHAM,3671,LEAD,1.8,2014-06-04
9353,ROYAL ESTATES,51067,FRANKLIN COUNTY,55,LEAD,1.7,2014-06-04
3762,"GEORGE`S CHICKEN, LLC",51171,SHENANDOAH,885,LEAD,0.0,2014-06-04
3756,"GEORGE`S CHICKEN, LLC",51171,SHENANDOAH,885,LEAD,0.0,2014-06-04
11620,"PLAINS, THE",51061,FAUQUIER,566,LEAD,0.0,2014-06-04
11619,"PLAINS, THE",51061,FAUQUIER,566,LEAD,0.0,2014-06-04
11618,"PLAINS, THE",51061,FAUQUIER,566,LEAD,0.0,2014-06-04
11483,MARSHALL WATERWORKS,51061,FAUQUIER,2245,LEAD,0.0,2014-06-04
11482,MARSHALL WATERWORKS,51061,FAUQUIER,2245,LEAD,0.0,2014-06-04
11481,MARSHALL WATERWORKS,51061,FAUQUIER,2245,LEAD,0.0,2014-06-04
8381,"AMHERST, TOWN OF",51009,AMHERST,4998,LEAD,0.4,2014-06-04
6570,"WILLIAMSBURG, CITY OF",51830,WILLIAMSBURG,16300,LEAD,1.17,2014-06-04
6569,"WILLIAMSBURG, CITY OF",51830,WILLIAMSBURG,16300,LEAD,0.0,2014-06-04
3755,"GEORGE`S CHICKEN, LLC",51171,SHENANDOAH,885,LEAD,48.5,2014-06-04
6568,"WILLIAMSBURG, CITY OF",51830,WILLIAMSBURG,16300,LEAD,0.0,2014-06-04
6566,"WILLIAMSBURG, CITY OF",51830,WILLIAMSBURG,16300,LEAD,1.01,2014-06-04
6565,"WILLIAMSBURG, CITY OF",51830,WILLIAMSBURG,16300,LEAD,0.0,2014-06-04
6564,"WILLIAMSBURG, CITY OF",51830,WILLIAMSBURG,16300,LEAD,1.16,2014-06-04
11621,"PLAINS, THE",51061,FAUQUIER,566,LEAD,0.0,2014-06-04
